sample_id,sample_seed,stratum_kind,sheet,row_idx,finding_key,finding_header,evidence_excerpt,annotator_1_b0_label,annotator_1_semantic_label,annotator_1_notes
B0-A1-011,20260611,multi_var_cross_contract,123,53,"123::[multi_var_cross_contract] totalLocked, {totalLocked}  tx-set -> cancel(address), fund(address[],uint256[])","[multi_var_cross_contract] totalLocked, {totalLocked}  tx-set -> cancel(address), fund(address[],uint256[])",https://github.com/code-423n4/2022-05-aura-findings/issues/126 https://github.com/code-423n4/2022-05-aura/blob/4989a2077546a5394e3650bf3c224669a0f7e690/contracts/AuraVestedEscrow.sol#L96,TP,ISU-other,"C1=unclear; C2=pass; C3=pass; C4=pass; C5=pass | rationale=confirmed Aura vesting-lifecycle bug: fund can add vesting rewards after endTime, causing locked/funded amounts to enter an unusable lifecycle state. It is a real state-update/lifecycle issue, but not cleanly MV-SI from the available evidence."
B0-A1-012,20260611,multi_var_cross_contract,17,46,"17::[multi_var_cross_contract] lastPwrdAssets, {DEFAULT_DECIMALS_FACTOR, lastPwrdAssets}, lastGvtAssets  tx-set -> decreaseGTokenLastAmount(bool,uint256,uint256), increaseGTokenLastAmount(bool,uint256)","[multi_var_cross_contract] lastPwrdAssets, {DEFAULT_DECIMALS_FACTOR, lastPwrdAssets}, lastGvtAssets  tx-set -> decreaseGTokenLastAmount(bool,uint256,uint256), increaseGTokenLastAmount(bool,uint256)",https://github.com/code-423n4/2021-06-gro-findings/issues/6 https://github.com/code-423n4/2021-06-gro-findings/issues/22,TP,ISU-other,"C1=unclear; C2=pass; C3=pass; C4=pass; C5=fail-for-MVSI | rationale=confirmed Gro asset-accounting underflow/safemath issue involving lastPwrdAssets/lastGvtAssets updates. The alert captures economically relevant state math, but the root cause is arithmetic/underflow rather than a clean MV-SI invariant."
B0-A1-013,20260611,multi_var_cross_contract,20,21,"20::[multi_var_cross_contract] mapPID_type, mapPID_param, mapPID_address  tx-set -> getProposalDetails(uint256), newGrantProposal(address,uint256)","[multi_var_cross_contract] mapPID_type, mapPID_param, mapPID_address  tx-set -> getProposalDetails(uint256), newGrantProposal(address,uint256)",https://github.com/code-423n4/2021-07-spartan-findings/issues/43,TP,MV-SI,"C1=pass; C2=pass; C3=pass; C4=pass; C5=pass | rationale=confirmed Spartan proposal bug: proposal type, parameter, and address fields must describe one executable proposal. Missing validation lets inconsistent proposal metadata enter storage and later block finalization/execution."
B0-A1-014,20260611,multi_var_cross_contract,20,41,"20::[multi_var_cross_contract] mapMemberSynth_lastTime, {mapMemberSynth_lastTime, stakedSynthAssets}, {mapMemberSynth_lastTime}  tx-set -> calcCurrentReward(address,address), harvestSingle(address)","[multi_var_cross_contract] mapMemberSynth_lastTime, {mapMemberSynth_lastTime, stakedSynthAssets}, {mapMemberSynth_lastTime}  tx-set -> calcCurrentReward(address,address), harvestSingle(address)",https://github.com/code-423n4/2021-07-spartan-findings/issues/66,TP,MV-SI,"C1=pass; C2=pass; C3=pass; C4=pass; C5=pass | rationale=confirmed Spartan reward-griefing bug: reward timestamp, staked synth amount, and accrued reward state are coupled. A deposit-for-member path can advance the victim timestamp without a matching reward claim, wiping accrued rewards."
B0-A1-015,20260611,multi_var_cross_contract,56,8,"56::[multi_var_cross_contract] epochEndBlocks, {epochEndBlocks, epochRewardMultiplers}  tx-set -> setEpochEndBlock(uint8,uint256)","[multi_var_cross_contract] epochEndBlocks, {epochEndBlocks, epochRewardMultiplers}  tx-set -> setEpochEndBlock(uint8,uint256)","Not in ground truth, found in QSP (counted as TP)",TP,MV-SI,C1=pass; C2=pass; C3=pass; C4=pass; C5=pass | rationale=QSP-confirmed epoch configuration bug: epochEndBlocks and epochRewardMultipliers must remain synchronized across reward-epoch configuration. Changing an epoch boundary without preserving the multiplier relationship can corrupt reward accounting.
B0-A1-016,20260611,multi_var_cross_contract,79,26,"79::[multi_var_cross_contract] wavaxReserve, {tokenIncentivesBalance, tokenReserve, wavaxReserve}, {floorPrice, token, wavaxReserve}  tx-set -> createPair(), skim()","[multi_var_cross_contract] wavaxReserve, {tokenIncentivesBalance, tokenReserve, wavaxReserve}, {floorPrice, token, wavaxReserve}  tx-set -> createPair(), skim()",https://github.com/code-423n4/2022-01-trader-joe-findings/issues/198,FP,not-confirmed-alert,"C1=unclear; C2=fail; C3=fail; C4=fail; C5=fail-for-MVSI | rationale=the cited Trader Joe issue is ERC20 return values not checked. That is a token-call integration bug, not the reserve/floor-price synchronization relation named by the B0 alert."
B0-A1-017,20260611,single_var_cross_tx,49,17,"49::[single_var_cross_tx] ovl  tx-set -> enableCollateral(address), setOVL(address)","[single_var_cross_tx] ovl  tx-set -> enableCollateral(address), setOVL(address)","Structurally correct, no bug. Benign",FP,not-confirmed-alert,C1=unclear; C2=fail; C3=fail; C4=fail; C5=unclear | rationale=the note says structurally correct/benign. No confirmed collateral/OVL invariant violation is established.
B0-A1-018,20260611,single_var_cross_tx,59src,13,"59src::[single_var_cross_tx] idToAuction  tx-set -> averageMaltPrice(uint256), purchaseArbitrageTokens(uint256)","[single_var_cross_tx] idToAuction  tx-set -> averageMaltPrice(uint256), purchaseArbitrageTokens(uint256)","[single_var_cross_tx] idToAuction tx-set -> averageMaltPrice(uint256), purchaseArbitrageTokens(uint256) • write contracts/Auction.sol:197 (Auction.('purchaseArbitrageTokens', ['uint256'], [])) • read contracts/Auction.sol:335 (Auction.('averageMaltPrice', ['uint256'], ['uint256']))",FP,not-confirmed-alert,"C1=unclear; C2=fail; C3=unclear; C4=fail; C5=unclear | rationale=idToAuction average price after purchase is adjacent auction accounting behavior, but no independent known bug or exploit is supplied for this bucket."
B0-A1-019,20260611,single_var_cross_tx,59src,22,"59src::[single_var_cross_tx] idToAuction  tx-set -> claimArbitrage(uint256), currentPrice(uint256)","[single_var_cross_tx] idToAuction  tx-set -> claimArbitrage(uint256), currentPrice(uint256)","[single_var_cross_tx] idToAuction tx-set -> claimArbitrage(uint256), currentPrice(uint256) • write contracts/Auction.sol:772 (Auction.('_resetAuctionMaxCommitments', [], [])) • write contracts/Auction.sol:642 (Auction.('_finalizeAuction', ['uint256'], [])) • read contracts/Auction.sol:345 (Auction.('currentPrice', ['uint256'], ['uint256'])) • read contracts/Auction.sol:221 (Auction.('claimArbitrage', ['uint256'], []))",FP,not-confirmed-alert,C1=unclear; C2=fail; C3=unclear; C4=fail; C5=unclear | rationale=idToAuction/currentPrice/claimArbitrage overlaps known auction code but the excerpt does not isolate a stale-state defect or confirmed sink.
B0-A1-020,20260611,single_var_cross_tx,6,12,"6::[single_var_cross_tx] cancelledOffers tx-set -> acceptTrade(address,address,uint256,uint256[],uint256,uint256[],uint256,uint256,bytes), tradeValid(address,address,uint256,uint256[],uint256,uint256[],uint256,uint256,bytes)","[single_var_cross_tx] cancelledOffers tx-set -> acceptTrade(address,address,uint256,uint256[],uint256,uint256[],uint256,uint256,bytes), tradeValid(address,address,uint256,uint256[],uint256,uint256[],uint256,uint256,bytes)",Pattern matches the well-known Larva Labs/Meebits OTC trade flow.,FP,not-confirmed-alert,"C1=unclear; C2=fail; C3=unclear; C4=fail; C5=unclear | rationale=the excerpt references the Meebits OTC cancellation flow, but does not prove the current evaluated bucket is exploitable or distinct from expected cancelled-offer validation."
B0-A1-021,20260611,single_var_cross_tx,78,17,"78::[single_var_cross_tx] stakedUserAssetWeight  tx-set -> setEYEBasedAssetStake(uint256,uint256,uint256,address)","[single_var_cross_tx] stakedUserAssetWeight  tx-set -> setEYEBasedAssetStake(uint256,uint256,uint256,address)","[single_var_cross_tx] stakedUserAssetWeight tx-set -> setEYEBasedAssetStake(uint256,uint256,uint256,address) • write contracts/DAO/LimboDAO.sol:348 (LimboDAO.('setEYEBasedAssetStake', ['uint256', 'uint256', 'uint256', 'address'], [])) • read contracts/DAO/LimboDAO.sol:340 (LimboDAO.('setEYEBasedAssetStake', ['uint256', 'uint256', 'uint256', 'address'], []))",FP,not-confirmed-alert,C1=unclear; C2=fail; C3=fail; C4=fail; C5=unclear | rationale=stakedUserAssetWeight is updated/read inside a DAO stake-setting path. No confirmed bug evidence or security sink is provided.
B0-A1-022,20260611,single_var_cross_tx,78,30,"78::[single_var_cross_tx] userInfo  tx-set -> claimBonus(address,uint256), claimReward(address,uint256)","[single_var_cross_tx] userInfo  tx-set -> claimBonus(address,uint256), claimReward(address,uint256)","[single_var_cross_tx] userInfo tx-set -> claimBonus(address,uint256), claimReward(address,uint256) • write contracts/Limbo.sol:549 (Limbo.('claimBonus', ['address', 'uint256'], [])) • read contracts/Limbo.sol:528 (Limbo.('claimReward', ['address', 'uint256'], []))",FP,not-confirmed-alert,C1=unclear; C2=fail; C3=unclear; C4=fail; C5=unclear | rationale=userInfo across claimBonus/claimReward is ordinary reward bookkeeping in the sample. The excerpt does not establish stale accounting or exploitability.
B0-A1-023,20260611,single_var_cross_tx,7code,71,"7code::[single_var_cross_tx] queuedTransactions  tx-set -> executeTransaction(address,uint256,string,bytes,uint256)","[single_var_cross_tx] queuedTransactions  tx-set -> executeTransaction(address,uint256,string,bytes,uint256)","[single_var_cross_tx] queuedTransactions tx-set -> executeTransaction(address,uint256,string,bytes,uint256) • write contracts/Timelock.sol:90 (Timelock.('executeTransaction', ['address', 'uint256', 'string', 'bytes', 'uint256'], ['bytes'])) • read contracts/Timelock.sol:86 (Timelock.('executeTransaction', ['address', 'uint256', 'string', 'bytes', 'uint256'], ['bytes']))",FP,not-confirmed-alert,C1=unclear; C2=fail; C3=fail; C4=fail; C5=unclear | rationale=queuedTransactions is read and consumed by executeTransaction as expected timelock lifecycle state. No bug evidence is attached.
B0-A1-024,20260611,single_var_cross_tx,8nftx-protocol-v2,7,"8nftx-protocol-v2::[single_var_cross_tx] vaultStakingInfo  tx-set -> deposit(uint256,uint256), updatePoolForVault(uint256)","[single_var_cross_tx] vaultStakingInfo  tx-set -> deposit(uint256,uint256), updatePoolForVault(uint256)",vaultStakingInfo is not involved in an SI bug,FP,not-confirmed-alert,"C1=fail; C2=fail; C3=fail; C4=fail; C5=unclear | rationale=the existing note says vaultStakingInfo is not involved in an SI bug, and the sample does not provide contrary evidence."
B0-A1-025,20260611,single_var_cross_tx,12,5,"12::[single_var_cross_tx] vaultOwners  tx-set -> buy(bytes12,uint128,uint128), grab(bytes12)","[single_var_cross_tx] vaultOwners  tx-set -> buy(bytes12,uint128,uint128), grab(bytes12)",https://github.com/code-423n4/2021-05-yield-findings/issues/8,TP,SV-SI-or-same-variable-SI,"C1=fail; C2=pass; C3=pass; C4=pass; C5=pass | rationale=confirmed Yield Witch issue: vaultOwners[vaultId] is overwritten by a second grab, losing the original owner needed by buy(). The sampled bucket captures the stale/overwritten single mapping lifecycle."
B0-A1-026,20260611,single_var_cross_tx,20,12,"20::[single_var_cross_tx] mapPID_type  tx-set -> finaliseProposal(), newActionProposal(string)","[single_var_cross_tx] mapPID_type  tx-set -> finaliseProposal(), newActionProposal(string)",https://github.com/code-423n4/2021-07-spartan-findings/issues/43,TP,SV-SI-or-same-variable-SI,"C1=partial; C2=pass; C3=pass; C4=pass; C5=pass | rationale=same Spartan proposal-consistency bug as the multi-var bucket, but this sampled single-var bucket isolates mapPID_type. It is a confirmed stale/invalid proposal-type lifecycle issue, while the broader finding also involves params/address."
B0-A1-027,20260611,single_var_cross_tx,22contracts,6,"22contracts::[single_var_cross_tx] totalReservedForTreasury  tx-set -> distributeYieldForTreasuryAndReturnMarketAllocation(uint256,uint256), withdrawTreasuryFunds()","[single_var_cross_tx] totalReservedForTreasury  tx-set -> distributeYieldForTreasuryAndReturnMarketAllocation(uint256,uint256), withdrawTreasuryFunds()",https://github.com/code-423n4/2021-08-floatcapital-findings/issues/14,FP,not-confirmed-alert,"C1=unclear; C2=fail; C3=unclear; C4=fail; C5=unclear | rationale=the cited Float item is a non-critical extra-safety suggestion, not a confirmed security/economic SI bug for totalReservedForTreasury."
B0-A1-028,20260611,single_var_cross_tx,41contracts,22,"41contracts::[single_var_cross_tx] ibRatio  tx-set -> auctionBurn(uint256), updateIBRatio(uint256)","[single_var_cross_tx] ibRatio  tx-set -> auctionBurn(uint256), updateIBRatio(uint256)",https://github.com/code-423n4/2021-10-defiprotocol-findings/issues/23,FP,not-confirmed-alert,"C1=unclear; C2=fail; C3=unclear; C4=fail; C5=fail-for-MVSI | rationale=the cited DefiProtocol issue is bondPercentDiv division-by-zero in bondForRebalance, while the sampled bucket is ibRatio auctionBurn/updateIBRatio. The alert does not capture that confirmed issue."
B0-A1-029,20260611,single_var_cross_tx,56,103,"56::[single_var_cross_tx] maxStrategies  tx-set -> addStrategy(address,address,uint256,uint256), setMaxStrategies(uint256)","[single_var_cross_tx] maxStrategies  tx-set -> addStrategy(address,address,uint256,uint256), setMaxStrategies(uint256)",https://github.com/code-423n4/2021-09-yaxis-findings/issues/145,TP,SV-SI-or-same-variable-SI,"C1=fail; C2=pass; C3=pass; C4=pass; C5=pass | rationale=confirmed yAxis maxStrategies issue: setMaxStrategies can lower the cap below the existing strategy count, leaving maxStrategies stale/inconsistent with already-added strategies and breaking future add/management assumptions."
B0-A1-030,20260611,single_var_cross_tx,70,41,"70::[single_var_cross_tx] claimed  tx-set -> convert(bytes32[],uint256,uint256)","[single_var_cross_tx] claimed  tx-set -> convert(bytes32[],uint256,uint256)",https://github.com/code-423n4/2021-12-vader-findings/issues/97,TP,SV-SI-or-same-variable-SI,C1=fail; C2=pass; C3=pass; C4=pass; C5=pass | rationale=confirmed Vader conversion bug: claimed/convert lifecycle state can leave users locked out of converting deprecated VETH. The sampled bucket captures the stale claimed-state gate consumed by convert.
B0-A1-031,20260611,single_var_cross_tx,78,25,"78::[single_var_cross_tx] tokenCrossingParameters  tx-set -> adjustSoul(address,uint256,int256,uint256), claimBonus(address,uint256)","[single_var_cross_tx] tokenCrossingParameters  tx-set -> adjustSoul(address,uint256,int256,uint256), claimBonus(address,uint256)",[M-08],TP,SV-SI-or-same-variable-SI,"C1=partial; C2=pass; C3=pass; C4=pass; C5=pass | rationale=confirmed Behodler tolerance bug: tokenCrossingParameters can be adjusted by flash governance without enforcing tolerance, so later claimBonus consumes unsafe config state. The sampled single-var bucket captures the stale/unchecked config side of the bug."
B0-A1-032,20260611,single_var_cross_tx,79,38,"79::[single_var_cross_tx] userInfo  tx-set -> deposit(uint256), withdraw(uint256)","[single_var_cross_tx] userInfo  tx-set -> deposit(uint256), withdraw(uint256)",https://github.com/code-423n4/2022-01-trader-joe-findings/issues/127,TP,ISU-other,"C1=unclear; C2=pass; C3=pass; C4=pass; C5=fail-for-MVSI | rationale=confirmed Trader Joe reentrancy issue around deposit/withdraw userInfo updates. It is a real state-update/external-call bug, but the root cause is reentrancy rather than MV-SI."
