oracle_id,source_dataset,source_category,source_subcategory,serial_number,reporting_time,bug_link,finding_slug,contest_slug,finding_id,project_slug,source_root_cause,source_exploitation_method,source_fix_strategy,raw_line,source_file
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-001,TOSEM,Dynamic Dependent Update Omission,,1,2021-08-17,https://code4rena.com/reports/2021-07-wildcredit#h-02-lendingpairliquidateaccount-does-not-accrue-and-update-cumulativeinterestrate,2021-07-wildcredit#h-02,2021-07-wildcredit,h-02,wildcredit,The accumulated interest rate is not updated during account liquidation.,"Interest calculation error, the borrower bypassed interest payment through self liquidation.",Revise the previous accumulated interest rate update method.,"1|2021-08-17|[2021-07-wildcredit#h-02](https://code4rena.com/reports/2021-07-wildcredit#h-02-lendingpairliquidateaccount-does-not-accrue-and-update-cumulativeinterestrate)| The accumulated interest rate is not updated during account liquidation.| Interest calculation error, the borrower bypassed interest payment through self liquidation. | Revise the previous accumulated interest rate update method.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-012,TOSEM,Dynamic Dependent Update Omission,,12,2023-02-17,https://code4rena.com/reports/2022-12-tigris#h-01-locksol-assets-deposited-with-lockextendlock-function-are-lost,2022-12-tigris#h-01,2022-12-tigris,h-01,tigris,The Lock.extendLock function increases the locked amount but does not update the total locked amount.,An accounting error resulted in the inability to release locked assets added through the extendLock() function in the future.,Update totalLocked[_asset] in Lock.extendLock.,12|2023-02-17|[2022-12-tigris#h-01](https://code4rena.com/reports/2022-12-tigris#h-01-locksol-assets-deposited-with-lockextendlock-function-are-lost)|The Lock.extendLock function increases the locked amount but does not update the total locked amount. | An accounting error resulted in the inability to release locked assets added through the extendLock() function in the future. | Update totalLocked[_asset] in Lock.extendLock.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-013,TOSEM,Dynamic Dependent Update Omission,,13,2023-01-13,https://code4rena.com/reports/2022-08-frax#h-01-any-borrower-with-bad-debt-can-be-liquidated-multiple-times-to-lock-funds-in-the-lending-pair,2022-08-frax#h-01,2022-08-frax,h-01,frax,The liquidateClean function does not update the borrower's loan shares.,The borrower's remaining share is not deducted from its actual debt.,Include the remaining shares in _sharesToLiquidate after liquidation.,13|2023-01-13|[2022-08-frax#h-01](https://code4rena.com/reports/2022-08-frax#h-01-any-borrower-with-bad-debt-can-be-liquidated-multiple-times-to-lock-funds-in-the-lending-pair)|The liquidateClean function does not update the borrower's loan shares. | The borrower's remaining share is not deducted from its actual debt. | Include the remaining shares in _sharesToLiquidate after liquidation.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-014,TOSEM,Dynamic Dependent Update Omission,,14,2023-01-18,https://code4rena.com/reports/2022-02-anchor#h-01-spend-limit-on-owner-can-be-bypassed,2022-02-anchor#h-01,2022-02-anchor,h-01,anchor,The spend_limit is not decremented based on spent amounts.,"config.spend_limit was not reduced after each spend, causing all subsequent spends to bypass the limit and the attacker could call the spend function multiple times.","After the spending operation is successful, reduce the value of config.spend_limit accordingly.","14|2023-01-18|[2022-02-anchor#h-01](https://code4rena.com/reports/2022-02-anchor#h-01-spend-limit-on-owner-can-be-bypassed)|The spend_limit is not decremented based on spent amounts. | config.spend_limit was not reduced after each spend, causing all subsequent spends to bypass the limit and the attacker could call the spend function multiple times. | After the spending operation is successful, reduce the value of config.spend_limit accordingly.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-015,TOSEM,Dynamic Dependent Update Omission,,15,2023-01-20,https://code4rena.com/reports/2022-11-stakehouse#h-10-giantmevandfeespoolbringunusedethbackintogiantpool-function-loses-the-addition-of-the-idleeth-which-allows-attackers-to-steal-most-of-eth-from-the-giant-pool,2022-11-stakehouse#h-10,2022-11-stakehouse,h-10,stakehouse,The idleETH is not incremented when returning ETH.,"The idleETH is not increased correctly, allowing the attacker to call the bringUnusedETHBackIntoGiantPool() function to steal ETH.",Increment the idleETH value accordingly in the bringUnusedETHBackIntoGiantPool() function.,"15|2023-01-20|[2022-11-stakehouse#h-10](https://code4rena.com/reports/2022-11-stakehouse#h-10-giantmevandfeespoolbringunusedethbackintogiantpool-function-loses-the-addition-of-the-idleeth-which-allows-attackers-to-steal-most-of-eth-from-the-giant-pool)| The idleETH is not incremented when returning ETH. | The idleETH is not increased correctly, allowing the attacker to call the bringUnusedETHBackIntoGiantPool() function to steal ETH. | Increment the idleETH value accordingly in the bringUnusedETHBackIntoGiantPool() function.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-016,TOSEM,Dynamic Dependent Update Omission,,16,2023-01-20,https://code4rena.com/reports/2022-11-stakehouse#h-06-bringunusedethbackintogiantpool-can-cause-stuck-ether-funds-in-giant-pool,2022-11-stakehouse#h-06,2022-11-stakehouse,h-06,stakehouse,The variable idleETH is not synchronized.,An error in the calculation of idleETH caused ETH withdrawn from the vault to be permanently locked in the Giant Pool.,Add an update for idleETH.,16|2023-01-20|[2022-11-stakehouse#h-06](https://code4rena.com/reports/2022-11-stakehouse#h-06-bringunusedethbackintogiantpool-can-cause-stuck-ether-funds-in-giant-pool)|The variable idleETH is not synchronized. | An error in the calculation of idleETH caused ETH withdrawn from the vault to be permanently locked in the Giant Pool. | Add an update for idleETH.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-017,TOSEM,Dynamic Dependent Update Omission,,17,2023-02-28,https://code4rena.com/reports/2023-01-ondo#h-01-loss-of-user-funds-when-completing-cash-redemptions,2023-01-ondo#h-01,2023-01-ondo,h-01,ondo,The variable totalBurned is not updated.,"The amount received by the user during subsequent redemption is inaccurate, resulting in financial loss.","After refunding refundedAmt, update totalBurned to deduct the refunded amount.","17|2023-02-28|[2023-01-ondo#h-01](https://code4rena.com/reports/2023-01-ondo#h-01-loss-of-user-funds-when-completing-cash-redemptions)|The variable totalBurned is not updated. | The amount received by the user during subsequent redemption is inaccurate, resulting in financial loss. | After refunding refundedAmt, update totalBurned to deduct the refunded amount.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-018,TOSEM,Dynamic Dependent Update Omission,,18,2023-02-28,https://code4rena.com/reports/2022-12-forgeries#h-01-admin-does-not-have-to-wait-to-call-lastresorttimelockownerclaimnft,2022-12-forgeries#h-01,2022-12-forgeries,h-01,forgeries,The recoverTimelock is not updated with each lottery draw.,Administrators can bypass the waiting time limit by repeatedly calling lastResortTimelockOwnerClaimNFT() without waiting for the specified time lock period to expire.,Update recoverTimelock with every lottery draw.,18|2023-02-28|[2022-12-forgeries#h-01](https://code4rena.com/reports/2022-12-forgeries#h-01-admin-does-not-have-to-wait-to-call-lastresorttimelockownerclaimnft)| The recoverTimelock is not updated with each lottery draw. | Administrators can bypass the waiting time limit by repeatedly calling lastResortTimelockOwnerClaimNFT() without waiting for the specified time lock period to expire. | Update recoverTimelock with every lottery draw.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-019,TOSEM,Dynamic Dependent Update Omission,,19,2023-04-27,https://code4rena.com/reports/2022-11-paraspace#h-01-data-corruption-in-nftfloororacle-denial-of-service,2022-11-paraspace#h-01,2022-11-paraspace,h-01,paraspace,The index in feederPositionMap is not updated when removing oracle addresses.,A calculation error caused an out-of-bounds access error when deleting the feeder.,Synchronize updates to oracle indexes moved to new positions in feederPositionMap during deletion.,19|2023-04-27|[2022-11-paraspace#h-01](https://code4rena.com/reports/2022-11-paraspace#h-01-data-corruption-in-nftfloororacle-denial-of-service)|The index in feederPositionMap is not updated when removing oracle addresses. | A calculation error caused an out-of-bounds access error when deleting the feeder. | Synchronize updates to oracle indexes moved to new positions in feederPositionMap during deletion.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-020,TOSEM,Dynamic Dependent Update Omission,,20,2023-05-22,https://code4rena.com/reports/2023-01-astaria#h-17-function-processepoch-in-publicvault-would-revert-when-most-of-the-users-withdraw-their-funds-because-of-the-underflow-for-new-yintercept-calculation,2023-01-astaria#h-17,2023-01-astaria,h-17,astaria,The latest interest is not counted into the total assets.,The next cycle cannot be started correctly and users' funds cannot be withdrawn.,Call accrue() at the beginning of processEpoch() to account for the latest interest.,20|2023-05-22|[2023-01-astaria#h-17](https://code4rena.com/reports/2023-01-astaria#h-17-function-processepoch-in-publicvault-would-revert-when-most-of-the-users-withdraw-their-funds-because-of-the-underflow-for-new-yintercept-calculation)|The latest interest is not counted into the total assets. | The next cycle cannot be started correctly and users' funds cannot be withdrawn. | Call accrue() at the beginning of processEpoch() to account for the latest interest.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-021,TOSEM,Dynamic Dependent Update Omission,,21,2023-05-22,https://code4rena.com/reports/2023-01-astaria#h-16-when-public-vault-a-buys-out-public-vault-bs-lien-tokens-it-does-not-increase-public-vault-as-liensopenforepoch-which-would-result-in-the-lien-tokens-not-being-repaid,2023-01-astaria#h-16,2023-01-astaria,h-16,astaria,liensOpenForEpoch is not incremented when purchasing liens.,"When Public Vault A acquired lien tokens, liensOpenForEpoch was not calculated correctly, resulting in an overflow when repaying.",Add a call to increaseEpochLienCount().,"21|2023-05-22|[2023-01-astaria#h-16](https://code4rena.com/reports/2023-01-astaria#h-16-when-public-vault-a-buys-out-public-vault-bs-lien-tokens-it-does-not-increase-public-vault-as-liensopenforepoch-which-would-result-in-the-lien-tokens-not-being-repaid)|liensOpenForEpoch is not incremented when purchasing liens. | When Public Vault A acquired lien tokens, liensOpenForEpoch was not calculated correctly, resulting in an overflow when repaying. | Add a call to increaseEpochLienCount().",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-022,TOSEM,Dynamic Dependent Update Omission,,22,2023-05-22,https://code4rena.com/reports/2023-01-astaria#h-06-buying-out-corrupts-the-slope-of-a-vault-reducing-rewards-of-lps,2023-01-astaria#h-06,2023-01-astaria,h-06,astaria,The variable for interest calculation remains unupdated during buyout operations.,"The slope of the new lien tokens is not added to the total slope of the public vault, borrowers are not paid interest, and liquidity providers cannot receive rewards.",Add the new lien slope back to the total slope after buyout completion.,"22|2023-05-22|[2023-01-astaria#h-06](https://code4rena.com/reports/2023-01-astaria#h-06-buying-out-corrupts-the-slope-of-a-vault-reducing-rewards-of-lps)| The variable for interest calculation remains unupdated during buyout operations. | The slope of the new lien tokens is not added to the total slope of the public vault, borrowers are not paid interest, and liquidity providers cannot receive rewards. | Add the new lien slope back to the total slope after buyout completion.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-023,TOSEM,Dynamic Dependent Update Omission,,23,2023-08-01,https://code4rena.com/reports/2023-03-polynomial#h-07-missing-totalfunds-update-in-liquiditypools-openshort-causing-liquiditypool-token-holder-to-lose-a-portion-of-their-token-value,2023-03-polynomial#h-07,2023-03-polynomial,h-07,polynomial,The deducted transaction fees (feesCollected - externalFee) are not added to totalFunds after calculating net transaction fees.,"The totalFunds calculation error affects the available funds in the liquidity pool, causing liquidity providers to lose part of their funds.",Add the net collected transaction fees to totalFunds in the openShort() function.,"23|2023-08-01|[2023-03-polynomial#h-07](https://code4rena.com/reports/2023-03-polynomial#h-07-missing-totalfunds-update-in-liquiditypools-openshort-causing-liquiditypool-token-holder-to-lose-a-portion-of-their-token-value)|The deducted transaction fees (feesCollected - externalFee) are not added to totalFunds after calculating net transaction fees. | The totalFunds calculation error affects the available funds in the liquidity pool, causing liquidity providers to lose part of their funds. | Add the net collected transaction fees to totalFunds in the openShort() function.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-024,TOSEM,Dynamic Dependent Update Omission,,24,2023-08-01,https://code4rena.com/reports/2023-03-polynomial#h-05-uneven-deduction-of-performance-fee-causes-some-kangaroovault-users-to-lose-part-of-their-token-value,2023-03-polynomial#h-05,2023-03-polynomial,h-05,polynomial,The performance fee is not deducted during liquidation.,"The fees deducted when closing a position were not distributed correctly, causing users to lose part of the token value when withdrawing.",Deduct performanceFee from premiumCollected in getTokenPrice().,"24|2023-08-01|[2023-03-polynomial#h-05](https://code4rena.com/reports/2023-03-polynomial#h-05-uneven-deduction-of-performance-fee-causes-some-kangaroovault-users-to-lose-part-of-their-token-value)| The performance fee is not deducted during liquidation. | The fees deducted when closing a position were not distributed correctly, causing users to lose part of the token value when withdrawing. | Deduct performanceFee from premiumCollected in getTokenPrice().",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-025,TOSEM,Dynamic Dependent Update Omission,,25,2023-08-01,https://code4rena.com/reports/2023-03-polynomial#h-04-kangaroovaultremovecollateral-updates-storage-without-actually-removing-collateral-resulting-in-lost-collateral,2023-03-polynomial#h-04,2023-03-polynomial,h-04,polynomial,Collateral data is marked as removed on-chain but not actually withdrawn.,"The amount of collateral is reduced in storage but not deducted from the transaction, resulting in the loss of collateral.",Call removeCollateral() to withdraw collateral while updating usedFunds.,"25|2023-08-01|[2023-03-polynomial#h-04](https://code4rena.com/reports/2023-03-polynomial#h-04-kangaroovaultremovecollateral-updates-storage-without-actually-removing-collateral-resulting-in-lost-collateral)| Collateral data is marked as removed on-chain but not actually withdrawn. | The amount of collateral is reduced in storage but not deducted from the transaction, resulting in the loss of collateral. | Call removeCollateral() to withdraw collateral while updating usedFunds.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-026,TOSEM,Dynamic Dependent Update Omission,,26,2023-08-01,https://code4rena.com/reports/2023-03-polynomial#h-01-exchange_liquidate-function-can-cause-liquidator-to-burn-too-much-powerperp-tokens,2023-03-polynomial#h-01,2023-03-polynomial,h-01,polynomial,The update to totalCollateralReturned is missing.,"Liquidators burn excessive powerPerp tokens, resulting in a loss of funds.","Calculate the token amount corresponding to the collateral actually received by the liquidator, then match the burned token quantity with the liquidator's actual received collateral value.","26|2023-08-01|[2023-03-polynomial#h-01](https://code4rena.com/reports/2023-03-polynomial#h-01-exchange_liquidate-function-can-cause-liquidator-to-burn-too-much-powerperp-tokens)|The update to totalCollateralReturned is missing. | Liquidators burn excessive powerPerp tokens, resulting in a loss of funds. | Calculate the token amount corresponding to the collateral actually received by the liquidator, then match the burned token quantity with the liquidator's actual received collateral value.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-027,TOSEM,Dynamic Dependent Update Omission,,27,2023-08-07,https://code4rena.com/reports/2023-05-particle#h-02-treasury-fee-is-not-collected-in-withdrawethwithinterest,2023-05-particle#h-02,2023-05-particle,h-02,particle,The treasury fee is not deducted from the interest paid to lenders.,"The treasury fees receivable were not deducted from the interest due to the lenders, resulting in the loss of these fees.",Accrue the earned interest to the interestAccrued mapping.,"27|2023-08-07|[2023-05-particle#h-02](https://code4rena.com/reports/2023-05-particle#h-02-treasury-fee-is-not-collected-in-withdrawethwithinterest)|The treasury fee is not deducted from the interest paid to lenders. | The treasury fees receivable were not deducted from the interest due to the lenders, resulting in the loss of these fees. | Accrue the earned interest to the interestAccrued mapping.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
