oracle_id,finding_slug,repo_slug,finding_id_norm,source_category,web3bugs_status,web3bugs_ids,web3bugs_dirs,web3bugs_basis,mvbench_status,mvbench_candidate_sheets,finding_match_count,b0_match_count,matched_ablations,matched_types,source_root_cause,source_exploitation_method
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-011,2022-04-backd#h-02,2022-04-backd,H-02,Dynamic Dependent Update Omission,web3bugs_id_found,112,112,reports_slug,finding_match,112backd,1,0,"{""B3"": 1}","{""TP"": 1}",The actionLockedBalances[payer] is not updated for the payer when transferring stakes.,stakedAndActionLockedBalanceOf() calculates wrong balance
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-012,2022-12-tigris#h-01,2022-12-tigris,H-01,Dynamic Dependent Update Omission,web3bugs_id_found,192,192,reports_slug,repo_sheet_no_finding,192,0,0,{},{},The Lock.extendLock function increases the locked amount but does not update the total locked amount.,An accounting error resulted in the inability to release locked assets added through the extendLock() function in the future.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-013,2022-08-frax#h-01,2022-08-frax,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The liquidateClean function does not update the borrower's loan shares.,The borrower's remaining share is not deducted from its actual debt.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-014,2022-02-anchor#h-01,2022-02-anchor,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The spend_limit is not decremented based on spent amounts.,"config.spend_limit was not reduced after each spend, causing all subsequent spends to bypass the limit and the attacker could call the spend function multiple times."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-015,2022-11-stakehouse#h-10,2022-11-stakehouse,H-10,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The idleETH is not incremented when returning ETH.,"The idleETH is not increased correctly, allowing the attacker to call the bringUnusedETHBackIntoGiantPool() function to steal ETH."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-016,2022-11-stakehouse#h-06,2022-11-stakehouse,H-06,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The variable idleETH is not synchronized.,An error in the calculation of idleETH caused ETH withdrawn from the vault to be permanently locked in the Giant Pool.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-017,2023-01-ondo#h-01,2023-01-ondo,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The variable totalBurned is not updated.,"The amount received by the user during subsequent redemption is inaccurate, resulting in financial loss."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-018,2022-12-forgeries#h-01,2022-12-forgeries,H-01,Dynamic Dependent Update Omission,web3bugs_id_found,191,191,reports_slug,web3bugs_id_no_mvbench_sheet,,0,0,{},{},The recoverTimelock is not updated with each lottery draw.,Administrators can bypass the waiting time limit by repeatedly calling lastResortTimelockOwnerClaimNFT() without waiting for the specified time lock period to expire.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-019,2022-11-paraspace#h-01,2022-11-paraspace,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The index in feederPositionMap is not updated when removing oracle addresses.,A calculation error caused an out-of-bounds access error when deleting the feeder.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-020,2023-01-astaria#h-17,2023-01-astaria,H-17,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The latest interest is not counted into the total assets.,The next cycle cannot be started correctly and users' funds cannot be withdrawn.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-021,2023-01-astaria#h-16,2023-01-astaria,H-16,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},liensOpenForEpoch is not incremented when purchasing liens.,"When Public Vault A acquired lien tokens, liensOpenForEpoch was not calculated correctly, resulting in an overflow when repaying."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-022,2023-01-astaria#h-06,2023-01-astaria,H-06,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The variable for interest calculation remains unupdated during buyout operations.,"The slope of the new lien tokens is not added to the total slope of the public vault, borrowers are not paid interest, and liquidity providers cannot receive rewards."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-023,2023-03-polynomial#h-07,2023-03-polynomial,H-07,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The deducted transaction fees (feesCollected - externalFee) are not added to totalFunds after calculating net transaction fees.,"The totalFunds calculation error affects the available funds in the liquidity pool, causing liquidity providers to lose part of their funds."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-024,2023-03-polynomial#h-05,2023-03-polynomial,H-05,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The performance fee is not deducted during liquidation.,"The fees deducted when closing a position were not distributed correctly, causing users to lose part of the token value when withdrawing."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-025,2023-03-polynomial#h-04,2023-03-polynomial,H-04,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},Collateral data is marked as removed on-chain but not actually withdrawn.,"The amount of collateral is reduced in storage but not deducted from the transaction, resulting in the loss of collateral."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-026,2023-03-polynomial#h-01,2023-03-polynomial,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The update to totalCollateralReturned is missing.,"Liquidators burn excessive powerPerp tokens, resulting in a loss of funds."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-027,2023-05-particle#h-02,2023-05-particle,H-02,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The treasury fee is not deducted from the interest paid to lenders.,"The treasury fees receivable were not deducted from the interest due to the lenders, resulting in the loss of these fees."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-028,2023-05-maia#h-28,2023-05-maia,H-28,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The reward records for this Flywheel are not removed simultaneously when removing the BribeFlywheel.,It is not possible to add new Flywheel incentives that would affect the protocol functionality.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-029,2023-07-basin#h-01,2023-07-basin,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The oracle Pumps is not updated promptly.,Manipulate the reserves of the current block and thus tamper with the prophecy machine data.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-030,2023-08-dopex#h-08,2023-08-dopex,H-08,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},totalWethDelegated is not reduced when users withdraw WETH.,Reducing WETH reserves incorrectly resulted in a rollback due to insufficient reserves when attempting to restore the price.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-031,2023-12-initcapital#h-01,2023-12-initcapital,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The user's latest debt status is not updated.,"Debt shares are miscalculated, which in turn causes subsequent liquidation operations to fail."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-032,2023-12-particle#h-02,2023-12-particle,H-02,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The fee accumulator value is not synchronized with the pool's current state.,"Inaccurate values of fee increases were used to calculate fees over the period of borrowing, which resulted in borrowers paying additional fees at the time of repayment."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-033,2024-03-gitcoin#h-01,2024-03-gitcoin,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},userTotalStaked is not updated when releasing funds.,"The actual pledge amount does not match userTotalStaked, thus miscalculating the withdrawn funds at the time of withdrawal."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-034,2024-03-dittoeth#h-07,2024-03-dittoeth,H-07,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},updatedAt is not updated when creating proposals.,"The collateral ratio was calculated incorrectly and was lower than that recorded in other valid redemption proposals, thus successfully initiating an invalid dispute and obtaining penalty fees."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-035,2024-05-olas#h-01,2024-05-olas,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},pointsSum.slope is not updated when nominees are removed.,"Errors occurred in the calculation of voting weights, affecting the accuracy of the governance mechanism."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-036,2024-01-curves#h-02,2024-01-curves,H-02,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},"Update accumulated rewards only during trades, not transfers.","The fee offset for the new account was not updated, resulting in incorrect calculation of the fees due to the account."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-037,2024-04-gondi#h-07,2024-04-gondi,H-07,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The data in _queueAccounting[lastQueueIndex] is not cleared when deploying a new withdrawal queue.,queueClaimAll() used outdated data and incorrectly allocated the total amount due.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-038,2024-04-gondi#h-06,2024-04-gondi,H-06,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The loan pool accounting records are not updated when lenders buy out loans via the settleWithBuyout() function.,"The accounting in the pool was not handled correctly, which affected the balance and profit distribution in the pool."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-039,2024-jul-gemnify-proleague#h-2,2024-jul-gemnify-proleague,H-02,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},ps.tokenBalances[] is not updated in the safeTransfer() function.,The actual amount received returned to users when withdrawing or transferring funds is incorrect.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-040,2024-05-olas#h-01,2024-05-olas,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},pointsSum.slope is not updated when nominees are removed.,"The slope for the removed nominees is still included in the calculation, resulting in an inaccurate calculation of the voting weight."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-041,2024-07-munchables#h-01,2024-07-munchables,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},toiletState[tokenId].plotId is not updated when users transfer tokens to another plot.,Allowing multiple tenants to occupy the same plot and causing errors in reward calculations.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-042,2021-05-visorfinance#h-02,2021-05-visorfinance,H-02,Dynamic Dependent Update Omission,web3bugs_id_found,10,10,reports_slug,repo_sheet_no_finding,10contracts,0,0,{},{},The granted NFT transaction authorization is not revoked.,"The authorization has not been revoked, and the authorized person can transfer NFTs repeatedly."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-043,2021-05-visorfinance#h-03,2021-05-visorfinance,H-03,Dynamic Dependent Update Omission,web3bugs_id_found,10,10,reports_slug,repo_sheet_no_finding,10contracts,0,0,{},{},Failure to clear the approval authorization for NFT resulted in authorized agents being able to transfer the NFT multiple times.,The NFT authorization is not reset.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-044,2021-11-unlock#h-03,2021-11-unlock,H-03,Dynamic Dependent Update Omission,web3bugs_id_found,54,54,reports_slug,repo_sheet_no_finding,54smart-contracts,0,0,{},{},The key manager is not reset.,"The attacker repeats the transaction after the key transfer, either returning the key to themselves or transferring it to other recipients."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-045,2021-11-unlock#h-04,2021-11-unlock,H-04,Dynamic Dependent Update Omission,web3bugs_id_found,54,54,reports_slug,repo_sheet_no_finding,54smart-contracts,0,0,{},{},The _setKeyManagerOf function does not clear single-token approvals.,The attacker repeatedly transfers the key back to themselves from the victim without clearing the previous approval after the key transfer.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-046,2022-07-ens#h-02,2022-07-ens,H-02,Dynamic Dependent Update Omission,web3bugs_id_found,145,145,reports_slug,repo_sheet_no_finding,145,0,0,{},{},Child node states are not considered when unwrapping the parent node.,"When unblocking child nodes, the original expiration time management mechanism was disrupted."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-047,2022-08-olympus#h-03,2022-08-olympus,H-03,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The current allowance is not decremented based on existing withdrawal records.,The attacker can front-run the approval change process to withdraw the previously approved funds early.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-048,2022-09-party#h-05,2022-09-party,H-05,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The NFT approval is not revoked.,"The attacker cancels the proposal in progress, thereby bypassing the protection measures and stealing the NFT."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-049,2022-07-golom#h-04,2022-07-golom,H-04,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The old delegatee is not removed.,"The old delegators were not deleted, resulting in the same user being able to double-count voting rights by delegating the same token multiple times."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-050,2023-01-rabbithole#h-02,2023-01-rabbithole,H-02,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The fee withdrawal status is not updated.,"The withdrawFee() function does not have any protection mechanism, allowing the protocol fee to be withdrawn multiple times."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-051,2024-05-loop#h-01,2024-05-loop,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The state variable totalLpETH is not locked to equal totalSupply.,Pre- and post-operations (sandwich attack) to donate ETH and directly obtain lpETH.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-052,2024-04-dyad#h-01,2024-04-dyad,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The keroseneVault is not authorized to the KerosineManager.,"The attacker registers the same asset to both management systems at the same time, causing the asset to be counted twice."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-053,2024-06-playfi-proleague#h-1,2024-06-playfi-proleague,H-01,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The variable limiting user purchase quantity is not updated after license purchase.,The attacker calls the claimLicensePartner() or claimLicensePublic() functions multiple times to repeatedly purchase licenses without restriction.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-054,2024-07-benddao#h-03,2024-07-benddao,H-03,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The NFT post-liquidation state is not fully reset.,"The NFT cannot be unlocked successfully, which in turn affects the subsequent NFT extraction operations."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-055,2024-08-superposition#h-02,2024-08-superposition,H-02,Dynamic Dependent Update Omission,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The previous getApproved[_tokenId] approval status is not revoked.,"Approval was not revoked after the NFT was transferred, and the previous owner transferred the NFT back to himself through repeated transactions."
TOSEM-RC-INCORRECT-LOGIC-UPDATE-001,2021-06-pooltogether#h-04,2021-06-pooltogether,H-04,Incorrect Logic Update,web3bugs_id_found,14,14,reports_slug,web3bugs_id_no_mvbench_sheet,,0,0,{},{},"The time lock mechanism did not take effect as expected, allowing users to bypass the time lock and withdraw funds directly.",The withdrawWithTimelockFrom() function sets incorrect _unlockTimestamps.
TOSEM-RC-INCORRECT-LOGIC-UPDATE-002,2021-10-mochi#h-11,2021-10-mochi,H-11,Incorrect Logic Update,web3bugs_id_found,42,42,reports_slug,web3bugs_id_no_mvbench_sheet,,0,0,{},{},The _shareMochi() function incorrectly resets treasuryShare.,VeCRV holders can receive tokens that should have been allocated to treasure multiple times.
TOSEM-RC-INCORRECT-LOGIC-UPDATE-003,2022-01-behodler#h-04,2022-01-behodler,H-04,Incorrect Logic Update,web3bugs_id_found,78,78,reports_slug,finding_match,78,18,3,"{""B0"": 3, ""B1"": 3, ""B2"": 3, ""B3"": 3, ""B4"": 3, ""B6"": 3}","{""TP"": 18}",Reset the user's pendingFlashDecision to default configuration when processing pending governance decisions.,The attacker repeatedly calls withdrawGovernanceAsset to steal funds.
TOSEM-RC-INCORRECT-LOGIC-UPDATE-004,2022-04-abranft#h-03,2022-04-abranft,H-03,Incorrect Logic Update,web3bugs_id_found,113,113,reports_slug,web3bugs_id_no_mvbench_sheet,,0,0,{},{},Lenders can replace the Oracle after loan approval.,"After the loan is issued, the attacker uses the updateLoanParams() function to maliciously replace the oracle."
TOSEM-RC-INCORRECT-LOGIC-UPDATE-005,2022-12-gogopool#h-01,2022-12-gogopool,H-01,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},"The maximum AVAX allocation per node in the cycle is increased via the increaseAVAXAssignedHighWater() function, rather than being directly updated to the current AVAXAssigned value.",The attacker manipulates AVAX higher than the actual allocation to obtain more rewards.
TOSEM-RC-INCORRECT-LOGIC-UPDATE-006,2022-07-golom#h-10,2022-07-golom,H-10,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},"When updating the voting proxy, both the old and new checkpoints were updated, causing the previous checkpoint to erroneously include the latest changes.",Incorrect vote counting affects the integrity of the voting system.
TOSEM-RC-INCORRECT-LOGIC-UPDATE-007,2022-07-golom#h-07,2022-07-golom,H-07,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},"During delegate operations, the ""Checkpoint memory oldCheckpoint"" in the function is only modified in memory and not written to storage.","The checkpoint is not written correctly, and the user's second delegation operation will not be persisted, resulting in the loss of delegation information."
TOSEM-RC-INCORRECT-LOGIC-UPDATE-008,2022-12-tessera#h-06,2022-12-tessera,H-06,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The propose() function overwrites the hash of the currently active proposal.,"When an activated proposal is executed while a new proposal is pending, funds are permanently stuck in the contract."
TOSEM-RC-INCORRECT-LOGIC-UPDATE-009,2022-12-tessera#h-03,2022-12-tessera,H-03,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},Both _verifyUnsuccessfulState() and _verifySuccessfulState() functions return true for the terminationPeriod timestamp.,The attacker stole funds by repeatedly claiming already refunded funds.
TOSEM-RC-INCORRECT-LOGIC-UPDATE-010,2023-02-malt#h-03,2023-02-malt,H-03,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},Claim rewards when the TWAP falls below the protocol's price threshold.,The attacker received two defaultIncentive rewards through flash loans in two consecutive blocks.
TOSEM-RC-INCORRECT-LOGIC-UPDATE-011,2023-05-party#h-01,2023-05-party,H-01,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},Calculate the allocation ratio for each faction's NFTs based on the current totalVotingPower.,"The users’ allocation shares were miscalculated, allowing the attacker to obtain more funds than they deserved by destroying NFTs."
TOSEM-RC-INCORRECT-LOGIC-UPDATE-012,2023-05-ajna#h-02,2023-05-ajna,H-02,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The depositTime of the target position is set directly to the depositTime of the source position.,"If the bankruptcy time of the target bucket is greater than the deposit time of the source location, the liquidity provider's funds will be permanently frozen."
TOSEM-RC-INCORRECT-LOGIC-UPDATE-013,2023-06-lybra#h-02,2023-06-lybra,H-02,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The liquidation() and rigidRedemption() functions calculate collateralRatio differently.,Bypass the correct mortgage rate calculation by calculating only the principal amount borrowed and ignoring the share of the borrowing and accumulated fees.
TOSEM-RC-INCORRECT-LOGIC-UPDATE-014,2023-01-popcorn#h-11,2023-01-popcorn,H-11,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},"The highWaterMark is updated whenever a user deposits, withdraws, or mints.",The inability to properly track the progress of earnings makes it impossible for the agreement to correctly charge for earnings when they are available.
TOSEM-RC-INCORRECT-LOGIC-UPDATE-015,2024-jul-gemnify-proleague#h-5,2024-jul-gemnify-proleague,H-05,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},"When reducing positions, the amount affecting the pool is incorrectly increased.","The withdrawal amounts were not properly accounted for, falsely increasing the amounts affecting the pool."
TOSEM-RC-INCORRECT-LOGIC-UPDATE-016,2023-11-zetachain#h-06,2023-11-zetachain,H-06,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The user's message field is overwritten with an empty string.,"The target contract cannot be called, which makes the cross-chain message function unable to work properly."
TOSEM-RC-INCORRECT-LOGIC-UPDATE-017,2024-07-traitforge#h-04,2024-07-traitforge,H-04,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},"During generation switching, the current generation's counter genMintCount is reset, failing to accurately record the true minting quantity of the previous generation when the next generation begins.",The number of new generations of entities was calculated incorrectly and allowed infinite generations of entities to be created.
TOSEM-RC-INCORRECT-LOGIC-UPDATE-018,2024-08-phi#h-04,2024-08-phi,H-04,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The endTime is incorrectly updated to block.timestamp in updateArtSettings().,The attacker exploited the extended endTime to repeat the transaction and mint additional tokens.
TOSEM-RC-INCORRECT-LOGIC-UPDATE-019,2024-08-superposition#h-01,2024-08-superposition,H-01,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},"The update_emergency_council_7_D_0_C_1_C_58() function fails to correctly update the target state (i.e., the emergency_council address) and instead erroneously modifies another administrative role, nft_manager.",An incorrect update to nft_manager caused emergency management to not work properly.
TOSEM-RC-INCORRECT-LOGIC-UPDATE-020,2022-09-frax#h-01,2022-09-frax,H-01,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},The syncRewards() function is not called to synchronize rewards before executing withdrawal operations.,"An accounting logic error caused the nextRewards calculation to be inflated, resulting in overpayment of rewards."
TOSEM-RC-INCORRECT-LOGIC-UPDATE-021,2022-11-stakehouse#h-16,2022-11-stakehouse,H-16,Incorrect Logic Update,no_web3bugs_id,,,,no_web3bugs_id,,0,0,{},{},beforeTokenTransfer() is called before the ETH transfer occurs.,"After receiving ETH, the attacker used the unlocked claimRewards() function to perform multiple transactions, resulting in too many rewards being issued."
