sample_id,sample_seed,stratum_kind,sheet,row_idx,finding_key,finding_header,evidence_excerpt,annotator_2_b0_label,annotator_2_semantic_label,annotator_2_notes
B0-A1-011,20260611,multi_var_cross_contract,123,53,"123::[multi_var_cross_contract] totalLocked, {totalLocked}  tx-set -> cancel(address), fund(address[],uint256[])","[multi_var_cross_contract] totalLocked, {totalLocked}  tx-set -> cancel(address), fund(address[],uint256[])",https://github.com/code-423n4/2022-05-aura-findings/issues/126 https://github.com/code-423n4/2022-05-aura/blob/4989a2077546a5394e3650bf3c224669a0f7e690/contracts/AuraVestedEscrow.sol#L96,,,
B0-A1-012,20260611,multi_var_cross_contract,17,46,"17::[multi_var_cross_contract] lastPwrdAssets, {DEFAULT_DECIMALS_FACTOR, lastPwrdAssets}, lastGvtAssets  tx-set -> decreaseGTokenLastAmount(bool,uint256,uint256), increaseGTokenLastAmount(bool,uint256)","[multi_var_cross_contract] lastPwrdAssets, {DEFAULT_DECIMALS_FACTOR, lastPwrdAssets}, lastGvtAssets  tx-set -> decreaseGTokenLastAmount(bool,uint256,uint256), increaseGTokenLastAmount(bool,uint256)",https://github.com/code-423n4/2021-06-gro-findings/issues/6 https://github.com/code-423n4/2021-06-gro-findings/issues/22,,,
B0-A1-013,20260611,multi_var_cross_contract,20,21,"20::[multi_var_cross_contract] mapPID_type, mapPID_param, mapPID_address  tx-set -> getProposalDetails(uint256), newGrantProposal(address,uint256)","[multi_var_cross_contract] mapPID_type, mapPID_param, mapPID_address  tx-set -> getProposalDetails(uint256), newGrantProposal(address,uint256)",https://github.com/code-423n4/2021-07-spartan-findings/issues/43,,,
B0-A1-014,20260611,multi_var_cross_contract,20,41,"20::[multi_var_cross_contract] mapMemberSynth_lastTime, {mapMemberSynth_lastTime, stakedSynthAssets}, {mapMemberSynth_lastTime}  tx-set -> calcCurrentReward(address,address), harvestSingle(address)","[multi_var_cross_contract] mapMemberSynth_lastTime, {mapMemberSynth_lastTime, stakedSynthAssets}, {mapMemberSynth_lastTime}  tx-set -> calcCurrentReward(address,address), harvestSingle(address)",https://github.com/code-423n4/2021-07-spartan-findings/issues/66,,,
B0-A1-015,20260611,multi_var_cross_contract,56,8,"56::[multi_var_cross_contract] epochEndBlocks, {epochEndBlocks, epochRewardMultiplers}  tx-set -> setEpochEndBlock(uint8,uint256)","[multi_var_cross_contract] epochEndBlocks, {epochEndBlocks, epochRewardMultiplers}  tx-set -> setEpochEndBlock(uint8,uint256)","Not in ground truth, found in QSP (counted as TP)",,,
B0-A1-016,20260611,multi_var_cross_contract,79,26,"79::[multi_var_cross_contract] wavaxReserve, {tokenIncentivesBalance, tokenReserve, wavaxReserve}, {floorPrice, token, wavaxReserve}  tx-set -> createPair(), skim()","[multi_var_cross_contract] wavaxReserve, {tokenIncentivesBalance, tokenReserve, wavaxReserve}, {floorPrice, token, wavaxReserve}  tx-set -> createPair(), skim()",https://github.com/code-423n4/2022-01-trader-joe-findings/issues/198,,,
B0-A1-017,20260611,single_var_cross_tx,49,17,"49::[single_var_cross_tx] ovl  tx-set -> enableCollateral(address), setOVL(address)","[single_var_cross_tx] ovl  tx-set -> enableCollateral(address), setOVL(address)","Structurally correct, no bug. Benign",,,
B0-A1-018,20260611,single_var_cross_tx,59src,13,"59src::[single_var_cross_tx] idToAuction  tx-set -> averageMaltPrice(uint256), purchaseArbitrageTokens(uint256)","[single_var_cross_tx] idToAuction  tx-set -> averageMaltPrice(uint256), purchaseArbitrageTokens(uint256)","[single_var_cross_tx] idToAuction tx-set -> averageMaltPrice(uint256), purchaseArbitrageTokens(uint256) • write contracts/Auction.sol:197 (Auction.('purchaseArbitrageTokens', ['uint256'], [])) • read contracts/Auction.sol:335 (Auction.('averageMaltPrice', ['uint256'], ['uint256']))",,,
B0-A1-019,20260611,single_var_cross_tx,59src,22,"59src::[single_var_cross_tx] idToAuction  tx-set -> claimArbitrage(uint256), currentPrice(uint256)","[single_var_cross_tx] idToAuction  tx-set -> claimArbitrage(uint256), currentPrice(uint256)","[single_var_cross_tx] idToAuction tx-set -> claimArbitrage(uint256), currentPrice(uint256) • write contracts/Auction.sol:772 (Auction.('_resetAuctionMaxCommitments', [], [])) • write contracts/Auction.sol:642 (Auction.('_finalizeAuction', ['uint256'], [])) • read contracts/Auction.sol:345 (Auction.('currentPrice', ['uint256'], ['uint256'])) • read contracts/Auction.sol:221 (Auction.('claimArbitrage', ['uint256'], []))",,,
B0-A1-020,20260611,single_var_cross_tx,6,12,"6::[single_var_cross_tx] cancelledOffers tx-set -> acceptTrade(address,address,uint256,uint256[],uint256,uint256[],uint256,uint256,bytes), tradeValid(address,address,uint256,uint256[],uint256,uint256[],uint256,uint256,bytes)","[single_var_cross_tx] cancelledOffers tx-set -> acceptTrade(address,address,uint256,uint256[],uint256,uint256[],uint256,uint256,bytes), tradeValid(address,address,uint256,uint256[],uint256,uint256[],uint256,uint256,bytes)",Pattern matches the well-known Larva Labs/Meebits OTC trade flow.,,,
B0-A1-021,20260611,single_var_cross_tx,78,17,"78::[single_var_cross_tx] stakedUserAssetWeight  tx-set -> setEYEBasedAssetStake(uint256,uint256,uint256,address)","[single_var_cross_tx] stakedUserAssetWeight  tx-set -> setEYEBasedAssetStake(uint256,uint256,uint256,address)","[single_var_cross_tx] stakedUserAssetWeight tx-set -> setEYEBasedAssetStake(uint256,uint256,uint256,address) • write contracts/DAO/LimboDAO.sol:348 (LimboDAO.('setEYEBasedAssetStake', ['uint256', 'uint256', 'uint256', 'address'], [])) • read contracts/DAO/LimboDAO.sol:340 (LimboDAO.('setEYEBasedAssetStake', ['uint256', 'uint256', 'uint256', 'address'], []))",,,
B0-A1-022,20260611,single_var_cross_tx,78,30,"78::[single_var_cross_tx] userInfo  tx-set -> claimBonus(address,uint256), claimReward(address,uint256)","[single_var_cross_tx] userInfo  tx-set -> claimBonus(address,uint256), claimReward(address,uint256)","[single_var_cross_tx] userInfo tx-set -> claimBonus(address,uint256), claimReward(address,uint256) • write contracts/Limbo.sol:549 (Limbo.('claimBonus', ['address', 'uint256'], [])) • read contracts/Limbo.sol:528 (Limbo.('claimReward', ['address', 'uint256'], []))",,,
B0-A1-023,20260611,single_var_cross_tx,7code,71,"7code::[single_var_cross_tx] queuedTransactions  tx-set -> executeTransaction(address,uint256,string,bytes,uint256)","[single_var_cross_tx] queuedTransactions  tx-set -> executeTransaction(address,uint256,string,bytes,uint256)","[single_var_cross_tx] queuedTransactions tx-set -> executeTransaction(address,uint256,string,bytes,uint256) • write contracts/Timelock.sol:90 (Timelock.('executeTransaction', ['address', 'uint256', 'string', 'bytes', 'uint256'], ['bytes'])) • read contracts/Timelock.sol:86 (Timelock.('executeTransaction', ['address', 'uint256', 'string', 'bytes', 'uint256'], ['bytes']))",,,
B0-A1-024,20260611,single_var_cross_tx,8nftx-protocol-v2,7,"8nftx-protocol-v2::[single_var_cross_tx] vaultStakingInfo  tx-set -> deposit(uint256,uint256), updatePoolForVault(uint256)","[single_var_cross_tx] vaultStakingInfo  tx-set -> deposit(uint256,uint256), updatePoolForVault(uint256)",vaultStakingInfo is not involved in an SI bug,,,
B0-A1-025,20260611,single_var_cross_tx,12,5,"12::[single_var_cross_tx] vaultOwners  tx-set -> buy(bytes12,uint128,uint128), grab(bytes12)","[single_var_cross_tx] vaultOwners  tx-set -> buy(bytes12,uint128,uint128), grab(bytes12)",https://github.com/code-423n4/2021-05-yield-findings/issues/8,,,
B0-A1-026,20260611,single_var_cross_tx,20,12,"20::[single_var_cross_tx] mapPID_type  tx-set -> finaliseProposal(), newActionProposal(string)","[single_var_cross_tx] mapPID_type  tx-set -> finaliseProposal(), newActionProposal(string)",https://github.com/code-423n4/2021-07-spartan-findings/issues/43,,,
B0-A1-027,20260611,single_var_cross_tx,22contracts,6,"22contracts::[single_var_cross_tx] totalReservedForTreasury  tx-set -> distributeYieldForTreasuryAndReturnMarketAllocation(uint256,uint256), withdrawTreasuryFunds()","[single_var_cross_tx] totalReservedForTreasury  tx-set -> distributeYieldForTreasuryAndReturnMarketAllocation(uint256,uint256), withdrawTreasuryFunds()",https://github.com/code-423n4/2021-08-floatcapital-findings/issues/14,,,
B0-A1-028,20260611,single_var_cross_tx,41contracts,22,"41contracts::[single_var_cross_tx] ibRatio  tx-set -> auctionBurn(uint256), updateIBRatio(uint256)","[single_var_cross_tx] ibRatio  tx-set -> auctionBurn(uint256), updateIBRatio(uint256)",https://github.com/code-423n4/2021-10-defiprotocol-findings/issues/23,,,
B0-A1-029,20260611,single_var_cross_tx,56,103,"56::[single_var_cross_tx] maxStrategies  tx-set -> addStrategy(address,address,uint256,uint256), setMaxStrategies(uint256)","[single_var_cross_tx] maxStrategies  tx-set -> addStrategy(address,address,uint256,uint256), setMaxStrategies(uint256)",https://github.com/code-423n4/2021-09-yaxis-findings/issues/145,,,
B0-A1-030,20260611,single_var_cross_tx,70,41,"70::[single_var_cross_tx] claimed  tx-set -> convert(bytes32[],uint256,uint256)","[single_var_cross_tx] claimed  tx-set -> convert(bytes32[],uint256,uint256)",https://github.com/code-423n4/2021-12-vader-findings/issues/97,,,
B0-A1-031,20260611,single_var_cross_tx,78,25,"78::[single_var_cross_tx] tokenCrossingParameters  tx-set -> adjustSoul(address,uint256,int256,uint256), claimBonus(address,uint256)","[single_var_cross_tx] tokenCrossingParameters  tx-set -> adjustSoul(address,uint256,int256,uint256), claimBonus(address,uint256)",[M-08],,,
B0-A1-032,20260611,single_var_cross_tx,79,38,"79::[single_var_cross_tx] userInfo  tx-set -> deposit(uint256), withdraw(uint256)","[single_var_cross_tx] userInfo  tx-set -> deposit(uint256), withdraw(uint256)",https://github.com/code-423n4/2022-01-trader-joe-findings/issues/127,,,
